X--Trace 1::[transient: TIME],Y--Trace 1::[Sum: V(4)],,X--Trace 2::[transient: TIME],Y--Trace 2::[2ndOrderFilter: V(17)],,X--Trace 3::[transient: TIME],Y--Trace 3::[Noise: V(1)],,X--Trace 4::[transient: TIME],Y--Trace 4::[4thOrderFilter: V(5)],,X--Trace 5::[transient: TIME],Y--Trace 5::[Clean: V(2)]
5.171043031398139e-8,0.004232603063782411,,5.171043031398139e-8,-6.331974456098488e-10,,5.171043031398139e-8,-0.12782368203249458,,5.171043031398139e-8,-8.380909833446512e-7,,5.171043031398139e-8,0.004873591096000425
5.3015895590216164e-8,0.013963203311070047,,5.3015895590216164e-8,-6.239717454958721e-10,,5.3015895590216164e-8,0.03200248967598059,,5.3015895590216164e-8,-8.379412109545515e-7,,5.3015895590216164e-8,0.004996628133153491
5.427789505314448e-8,-0.005970445538092792,,5.427789505314448e-8,-6.149911048492749e-10,,5.427789505314448e-8,0.10354449411558336,,5.427789505314448e-8,-8.378998915775204e-7,,5.427789505314448e-8,0.005115568611469662
5.494575024947617e-8,-0.012708891501659174,,5.494575024947617e-8,-6.102157786130429e-10,,5.494575024947617e-8,-0.0032510475739821565,,5.494575024947617e-8,-8.379476386665053e-7,,5.494575024947617e-8,0.005178512388182682
5.5559234296132515e-8,-0.013410868377430375,,5.5559234296132515e-8,-6.058163913401601e-10,,5.5559234296132515e-8,0.031776760109613916,,5.5559234296132515e-8,-8.380052988753817e-7,,5.5559234296132515e-8,0.005236331810297949
5.6211892840683713e-8,-0.014688277405487695,,5.6211892840683713e-8,-6.011231488679887e-10,,5.6211892840683713e-8,0.0032140919105173855,,5.6211892840683713e-8,-8.380507236085611e-7,,5.6211892840683713e-8,0.005297843334158941
5.6945912046410356e-8,-0.016611775071584203,,5.6945912046410356e-8,-5.95830363839197e-10,,5.6945912046410356e-8,0.04440231843647976,,5.6945912046410356e-8,-8.380826898572694e-7,,5.6945912046410356e-8,0.005367022905202386
5.804661962878103e-8,-0.023433098297308642,,5.804661962878103e-8,-5.878674246928029e-10,,5.804661962878103e-8,0.04438341714472637,,5.804661962878103e-8,-8.381241495840247e-7,,5.804661962878103e-8,0.0054707619815973
5.864806724352232e-8,-0.02180945242528407,,5.864806724352232e-8,-5.835038261034489e-10,,5.864806724352232e-8,-0.013889065435568351,,5.864806724352232e-8,-8.381436842123423e-7,,5.864806724352232e-8,0.005527446988604643
5.92919114144063e-8,-0.014738203506237463,,5.92919114144063e-8,-5.788236884526577e-10,,5.92919114144063e-8,-0.06643436908038539,,5.92919114144063e-8,-8.381493229530553e-7,,5.92919114144063e-8,0.005588127767990921
5.99536649510641e-8,-0.002988046446872783,,5.99536649510641e-8,-5.740045453129065e-10,,5.99536649510641e-8,-0.09935244433008174,,5.99536649510641e-8,-8.3812537059585e-7,,5.99536649510641e-8,0.005650496460056185
6.038044012889705e-8,0.000005860355592332051,,6.038044012889705e-8,-5.708921328594249e-10,,6.038044012889705e-8,0.033463584709290915,,6.038044012889705e-8,-8.380923126233645e-7,,6.038044012889705e-8,0.005690719001103255
6.080720704103142e-8,-0.003303506517963626,,6.080720704103142e-8,-5.677766866542635e-10,,6.080720704103142e-8,0.03292125702679952,,6.080720704103142e-8,-8.380583358951534e-7,,6.080720704103142e-8,0.005730940762105032
6.125696677611668e-8,-0.00988170919694329,,6.125696677611668e-8,-5.644902453529614e-10,,6.125696677611668e-8,0.1151894989537969,,6.125696677611668e-8,-8.380384012851642e-7,,6.125696677611668e-8,0.0057733295405754175
6.176395651641772e-8,-0.01597270725043638,,6.176395651641772e-8,-5.607819204293056e-10,,6.176395651641772e-8,0.007827635243711457,,6.176395651641772e-8,-8.380433460776574e-7,,6.176395651641772e-8,0.005821112108667165
6.230310893950997e-8,-0.014986946030286736,,6.230310893950997e-8,-5.568346185492141e-10,,6.230310893950997e-8,-0.007010027797480532,,6.230310893950997e-8,-8.380673798623297e-7,,6.230310893950997e-8,0.0058719259309179955
6.279498558500424e-8,-0.015966274516078443,,6.279498558500424e-8,-5.532299409697633e-10,,6.279498558500424e-8,0.04893711928548326,,6.279498558500424e-8,-8.380891105290817e-7,,6.279498558500424e-8,0.005918284123093096
6.32973376788392e-8,-0.025161703216577663,,6.32973376788392e-8,-5.495456842131826e-10,,6.32973376788392e-8,0.1635410176726673,,6.32973376788392e-8,-8.381117381630608e-7,,6.32973376788392e-8,0.00596562959964979
6.4019935290553e-8,-0.038284885193749785,,6.4019935290553e-8,-5.44242330089149e-10,,6.4019935290553e-8,0.05784200482116051,,6.4019935290553e-8,-8.381699994864126e-7,,6.4019935290553e-8,0.006033732683910076
